etapa,anos_series,tipo_associacao,componente,sigla,codigo,descricao,unidade_tematica,objeto_conhecimento,origem,escopo,fonte_documento,fonte_pagina
EF_AI,EF1,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF01TV01.c.01,"""Identificar e desenvolver hábitos de higiene alimentar, na família, na escola e na comunidade local.""",Alimentação,A origem e importância dos alimentos para uma alimentação saudável.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,82
EF_AI,EF2,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF01TV01.c.01,"""Identificar e desenvolver hábitos de higiene alimentar, na família, na escola e na comunidade local.""",Alimentação,A origem e importância dos alimentos para uma alimentação saudável.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,82
EF_AI,EF1,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF01TV03.c.03,Identificar a limpeza do ambiente familiar e escolar com a preservação da saúde.,Meio Ambiente,Meio Ambiente - situações desafiadoras de preservação.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,82
EF_AI,EF2,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF01TV03.c.03,Identificar a limpeza do ambiente familiar e escolar com a preservação da saúde.,Meio Ambiente,Meio Ambiente - situações desafiadoras de preservação.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,82
EF_AI,EF1,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF01TV06.c.06,Identificar práticas e costumes próprios da realidade do campo.,Saberes e Conhecimentos Tradicionais,Práticas e costumes.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,82
EF_AI,EF2,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF01TV06.c.06,Identificar práticas e costumes próprios da realidade do campo.,Saberes e Conhecimentos Tradicionais,Práticas e costumes.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,82
EF_AI,EF2,CURRICULAR,Terra – Vida – Trabalho,TVT,MS. EF02TV01.c.01,Perceber que existe um padrão alimentar típico seguido em várias regiões e localidades que garante a diversidade e o respeito à cultura alimentar dos povos.,Alimentação,A importância nutricional dos alimentos para o desenvolvimento do ser humano e a relação entre os hábitos alimentares com a regionalidade.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,83
EF_AI,EF3,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS. EF02TV01.c.01,Perceber que existe um padrão alimentar típico seguido em várias regiões e localidades que garante a diversidade e o respeito à cultura alimentar dos povos.,Alimentação,A importância nutricional dos alimentos para o desenvolvimento do ser humano e a relação entre os hábitos alimentares com a regionalidade.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,83
EF_AI,EF2,CURRICULAR,Terra – Vida – Trabalho,TVT,MS. EF02TV03.c.03,Demonstrar atitudes em relação a preservação do meio ambiente.,Meio Ambiente,Importância do Meio Ambiente e a de sua conservação.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,83
EF_AI,EF3,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS. EF02TV03.c.03,Demonstrar atitudes em relação a preservação do meio ambiente.,Meio Ambiente,Importância do Meio Ambiente e a de sua conservação.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,83
EF_AI,EF2,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF02TV06.c.06,Reconhecer e respeitar os valores e saberes da comunidade local.,Saberes e Conhecimentos Tradicionais,Valores e saberes das comunidades locais.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,83
EF_AI,EF3,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF02TV06.c.06,Reconhecer e respeitar os valores e saberes da comunidade local.,Saberes e Conhecimentos Tradicionais,Valores e saberes das comunidades locais.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,83
EF_AI,EF3,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF03TV02.c.02,Reconhecer a importância do consumo de alimentos orgânicos para a promoção da saúde e a qualidade de vida.,Alimentação,Alimentos orgânicos.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,84
EF_AI,EF4,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF03TV02.c.02,Reconhecer a importância do consumo de alimentos orgânicos para a promoção da saúde e a qualidade de vida.,Alimentação,Alimentos orgânicos.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,84
EF_AI,EF3,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF03TV03.c.03,Identificar a diferença entre reutilizar e reciclar os resíduos produzidos e como fazer a reutilização e a reciclagem.,Meio Ambiente,Lixo - reutilizar e reciclar.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,84
EF_AI,EF4,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF03TV03.c.03,Identificar a diferença entre reutilizar e reciclar os resíduos produzidos e como fazer a reutilização e a reciclagem.,Meio Ambiente,Lixo - reutilizar e reciclar.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,84
EF_AI,EF3,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF03TV06.c.06,"""Compreender, que os lugares de vivência, história familiares e ambientes sociais são elementos importantes para a formação da identidade cultural local e regional.""",Saberes e Conhecimentos Tradicionais,Elementos (práticas) que contribuem para o reconhecimento da identidade cultural e social dos alunos na comunidade local.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,84
EF_AI,EF4,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF03TV06.c.06,"""Compreender, que os lugares de vivência, história familiares e ambientes sociais são elementos importantes para a formação da identidade cultural local e regional.""",Saberes e Conhecimentos Tradicionais,Elementos (práticas) que contribuem para o reconhecimento da identidade cultural e social dos alunos na comunidade local.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,84
EF_AI,EF4,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF04TV01.c.01,Aprender as diferentes etapas do processo de produção dos alimentos.,Alimentação,Produção dos alimentos do plantio até a colheita.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,85
EF_AI,EF5,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF04TV01.c.01,Aprender as diferentes etapas do processo de produção dos alimentos.,Alimentação,Produção dos alimentos do plantio até a colheita.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,85
EF_AI,EF4,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF04TV03.c.03,Identificar os diferentes tipos de solo da comunidade local e a relevância da sua conservação para a produção agrícola.,Meio Ambiente,Tipos de solo.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,85
EF_AI,EF5,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF04TV03.c.03,Identificar os diferentes tipos de solo da comunidade local e a relevância da sua conservação para a produção agrícola.,Meio Ambiente,Tipos de solo.,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,85
EF_AI,EF4,CURRICULAR,Terra – Vida – Trabalho,TVT,MS.EF04TV05.c.05,Re(conhecer) as plantas medicinais mais cultivadas em seus núcleos familiares e na comunidade local.,Saberes e Conhecimentos Tradicionais,Ervas medicinais (caseiros).,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,85
EF_AI,EF5,RECOMPOSICAO,Terra – Vida – Trabalho,TVT,MS.EF04TV05.c.05,Re(conhecer) as plantas medicinais mais cultivadas em seus núcleos familiares e na comunidade local.,Saberes e Conhecimentos Tradicionais,Ervas medicinais (caseiros).,SED_MS_MATRIZ_HABILIDADES_ESSENCIAIS,ESSENCIAL_RECOMPOSICAO,MATRIZ_HABILIDADES_ESSENCIAIS_SED_MS,85
